id,set,category,best_before,best_after,d_best,cut_before,cut_after,cov_before,cov_after,cov_orig_after,pages_before,pages_after
h002,golden_hard_paraphrase,direct_fact,1.27,1.27,0.0,False,False,0.0,0.0,0.0,3,3
h003,golden_hard_paraphrase,direct_fact,-2.392,-2.392,0.0,False,False,100.0,100.0,100.0,1,1
h004,golden_hard_paraphrase,direct_fact,-0.686,-0.686,0.0,False,False,100.0,100.0,100.0,1,1
h005,golden_hard_paraphrase,direct_fact,-3.587,-3.587,0.0,True,True,0.0,0.0,0.0,0,0
h006,golden_hard_paraphrase,enumeration,-2.164,-2.164,0.0,False,False,0.0,0.0,0.0,1,1
h007,golden_hard_paraphrase,reasoning,-1.499,-1.499,0.0,False,False,0.0,0.0,0.0,1,1
h008,golden_hard_paraphrase,direct_fact,-6.236,-6.236,0.0,True,True,0.0,0.0,0.0,0,0
h009,golden_hard_paraphrase,direct_fact,-5.331,-6.254,-0.923,True,True,0.0,0.0,0.0,0,0
h010,golden_hard_paraphrase,direct_fact,2.17,2.17,0.0,False,False,100.0,100.0,100.0,5,5
h011,golden_hard_paraphrase,multi_hop,-2.352,-2.352,0.0,False,False,0.0,0.0,0.0,1,1
h012,golden_hard_paraphrase,multi_hop,-5.299,-5.299,0.0,True,True,0.0,0.0,0.0,0,0
h013,golden_hard_paraphrase,multi_hop,-1.977,-1.977,0.0,False,False,33.3,33.3,33.3,1,1
h014,golden_hard_paraphrase,multi_hop,-1.984,-1.984,0.0,False,False,66.7,66.7,66.7,1,1
h015,golden_hard_paraphrase,multi_hop,-4.992,-4.992,0.0,True,True,0.0,0.0,0.0,0,0
h016,golden_hard_paraphrase,multi_hop,-9.368,-9.368,0.0,True,True,0.0,0.0,0.0,0,0
