id,set,category,cand_same,pages_same,a_best,b_best,a_cov,b_cov,a_cut,b_cut,n_only_a,n_only_b
q048,golden_set_50.jsonl,out_of_corpus,False,True,-3.119509220123291,-3.119509220123291,0.0,0.0,True,True,0,0
q049,golden_set_50.jsonl,out_of_corpus,False,True,-9.403556823730469,-9.403556823730469,0.0,0.0,True,True,0,0
q050,golden_set_50.jsonl,out_of_corpus,False,True,-5.053423881530762,-5.053423881530762,0.0,0.0,True,True,0,0
q051,golden_multihop_new.jsonl,multi_hop,False,False,1.4045084714889526,1.4045084714889526,100.0,100.0,False,False,1,1
q052,golden_multihop_new.jsonl,multi_hop,False,True,1.0918599367141724,1.0918599367141724,33.333333333333336,33.333333333333336,False,False,0,0
q053,golden_multihop_new.jsonl,multi_hop,False,True,2.9003944396972656,2.9003944396972656,100.0,100.0,False,False,0,0
q054,golden_multihop_new.jsonl,multi_hop,False,True,0.8065298795700073,0.8065298795700073,66.66666666666667,66.66666666666667,False,False,0,0
q055,golden_multihop_new.jsonl,multi_hop,False,True,4.476962089538574,4.476962089538574,100.0,100.0,False,False,0,0
q056,golden_multihop_new.jsonl,multi_hop,False,True,4.002211570739746,4.002211570739746,100.0,100.0,False,False,0,0
q057,golden_multihop_new.jsonl,multi_hop,False,True,0.6127129793167114,0.6127129793167114,100.0,100.0,False,False,0,0
q059,golden_multihop_new.jsonl,multi_hop,False,True,1.322350263595581,1.322350263595581,100.0,100.0,False,False,0,0
q060,golden_multihop_new.jsonl,multi_hop,False,True,3.3678579330444336,3.3678579330444336,66.66666666666667,66.66666666666667,False,False,0,0
q061,golden_multihop_new.jsonl,multi_hop,False,True,2.292759418487549,2.292759418487549,66.66666666666667,66.66666666666667,False,False,0,0
q062,golden_multihop_new.jsonl,multi_hop,False,True,2.2223618030548096,2.2223618030548096,33.333333333333336,33.333333333333336,False,False,0,0
h001,golden_hard_paraphrase.jsonl,enumeration,False,True,-1.906752586364746,-1.906752586364746,33.333333333333336,33.333333333333336,False,False,0,0
h002,golden_hard_paraphrase.jsonl,direct_fact,False,True,1.2696884870529175,1.2696884870529175,0.0,0.0,False,False,0,0
h003,golden_hard_paraphrase.jsonl,direct_fact,False,True,-2.392392635345459,-2.392392635345459,100.0,100.0,False,False,0,0
h004,golden_hard_paraphrase.jsonl,direct_fact,True,True,-0.6862252354621887,-0.6862252354621887,100.0,100.0,False,False,0,0
h005,golden_hard_paraphrase.jsonl,direct_fact,False,True,-3.5874204635620117,-3.5874204635620117,50.0,50.0,True,True,0,0
h006,golden_hard_paraphrase.jsonl,enumeration,False,True,-2.1637744903564453,-2.1637744903564453,33.333333333333336,33.333333333333336,False,False,0,0
h007,golden_hard_paraphrase.jsonl,reasoning,False,True,-1.4985051155090332,-1.4985051155090332,100.0,100.0,False,False,0,0
h008,golden_hard_paraphrase.jsonl,direct_fact,False,True,-6.23569393157959,-6.23569393157959,0.0,0.0,True,True,0,0
h009,golden_hard_paraphrase.jsonl,direct_fact,False,True,-5.330951690673828,-5.330951690673828,0.0,0.0,True,True,0,0
h010,golden_hard_paraphrase.jsonl,direct_fact,False,True,2.16988468170166,2.16988468170166,100.0,100.0,False,False,0,0
h011,golden_hard_paraphrase.jsonl,multi_hop,False,True,-2.3516294956207275,-2.3516294956207275,66.66666666666667,66.66666666666667,False,False,0,0
h012,golden_hard_paraphrase.jsonl,multi_hop,False,True,-5.298546314239502,-5.298546314239502,0.0,0.0,True,True,0,0
h013,golden_hard_paraphrase.jsonl,multi_hop,False,True,-1.9767121076583862,-1.9767121076583862,33.333333333333336,33.333333333333336,False,False,0,0
h014,golden_hard_paraphrase.jsonl,multi_hop,False,True,-1.9835684299468994,-1.9835684299468994,66.66666666666667,66.66666666666667,False,False,0,0
h015,golden_hard_paraphrase.jsonl,multi_hop,False,True,-4.991783618927002,-4.991783618927002,0.0,0.0,True,True,0,0
h016,golden_hard_paraphrase.jsonl,multi_hop,False,True,-9.368318557739258,-9.368318557739258,66.66666666666667,66.66666666666667,True,True,0,0
